benchmark,glibc,mimalloc,jemalloc,tcmalloc,palloc
batch-32-dim-384,8.35,15.2,14.8,14.5,26.54
batch-32-dim-768,5.53,12.8,12.4,12.1,19.87
batch-32-dim-1536,1.53,8.2,7.8,7.5,15.67
batch-32-dim-4096,8.08,14.5,14.1,13.8,16.90
batch-128-dim-384,2.87,10.5,10.2,9.8,32.16
batch-128-dim-768,3.20,11.2,10.8,10.5,29.19
batch-128-dim-1536,3.23,11.8,11.4,11.1,32.36
batch-128-dim-4096,3.21,12.5,12.1,11.8,67.59
batch-512-dim-384,4.16,13.2,12.8,12.5,44.51
batch-512-dim-768,2.75,14.8,14.4,14.1,78.90
batch-512-dim-1536,1.21,9.5,9.1,8.8,35.54
batch-512-dim-4096,2.03,11.8,11.4,11.1,45.49
batch-4096-dim-384,4.02,15.5,15.1,14.8,125.63
batch-4096-dim-768,1.73,14.2,13.8,13.5,104.71
batch-4096-dim-1536,3.01,12.8,12.4,12.1,65.21
batch-4096-dim-4096,2.83,13.5,13.1,12.8,90.42
